a.user	a.query	a.query as query1	a.md5key	a.rawkey	date(from_unixtime(a.timestamp)) as date	a.source	a.Judgements	a.Comments	a.comment	a.rank	m._Q1	m._Sno	m._Q2	b.data
tiielle	1313	1313	7895fc13088ee37f511913bac71fa66f	1434	2015-07-14	QueryPair	Excellent			0	all inclusive resorts australia	1434	resorts australia all inclusive	all inclusive resorts australia
tiielle	1321	1321	e96ed478dab8595a7dbda4cbcbee168f	218	2015-07-14	QueryPair	Excellent			0	air transat ca	218	air transat canada	air transat ca
tiielle	1338	1338	00411460f7c92d2124a67ea0f4cb5f85	363	2015-07-14	QueryPair	Excellent			0	zen hotel palo alto	363	palo alto the zen hotel	zen hotel palo alto
tiielle	1340	1340	cdc0d6e63aa8e41c89689f54970bb35f	619	2015-07-14	QueryPair	Good			0	las vegas lake	619	nevada lake	las vegas lake
tiielle	1378	1378	a0f3601dc682036423013a5d965db9aa	1673	2015-07-14	QueryPair	Excellent			0	maui packages	1673	vacations in maui	maui packages
tiielle	1426	1426	3a824154b16ed7dab899bf000b80eeee	2022	2015-07-14	QueryPair	Excellent			0	trip las vegas package	2022	las vegas trip packages	trip las vegas package
tiielle	1436	1436	cfbce4c1d7c425baf21d6b6f2babe6be	891	2015-07-14	QueryPair	Fair			0	all inclusive inverrary vacation resort fort lauderdale	891	all inclusive inverrary vacation resort	all inclusive inverrary vacation resort fort lauderdale
tiielle	1457	1457	e8fd4a8a5bab2b3785d794ab51fef55c	1767	2015-07-14	QueryPair	Excellent			0	pet friendly hotels nyc	1767	pet friendly nyc hotels	pet friendly hotels nyc
tiielle	1483	1483	109d2dd3608f669ca17920c511c2a41e	1528	2015-07-14	QueryPair	Excellent			0	hilton hotels new york city	1528	hilton new york city	hilton hotels new york city
tiielle	149	149	f45a1078feb35de77d26b3f7a52ef502	1846	2015-07-14	QueryPair	Excellent			0	tripadvisor dominican republic all inclusive	1846	tripadvisor all inclusive dominican republic	tripadvisor dominican republic all inclusive
tiielle	1494	1494	748ba69d3e8d1af87f84fee909eef339	1535	2015-07-15	QueryPair	Good			0	puerto vallarta deals	1535	hotel deals puerto vallarta	puerto vallarta deals
tiielle	1513	1513	e97ee2054defb209c35fe4dc94599061	844	2015-07-14	QueryPair	Excellent			0	omni houston	844	omni houston hotel houston	omni houston
tiielle	1527	1527	0533a888904bd4867929dffd884d60b8	1799	2015-07-15	QueryPair	Excellent			0	punta cana vacations all inclusive	1799	punta cana all inclusive	punta cana vacations all inclusive
tiielle	1571	1571	3ad7c2ebb96fcba7cda0cf54a2e802f5	343	2015-07-14	QueryPair	Fair			0	comfort suites kodak tn	343	comfort suites sevierville tn	comfort suites kodak tn
tiielle	1611	1611	08b255a5d42b89b0585260b6f2360bdd	590	2015-07-14	QueryPair	Excellent			0	mgm hotel vegas	590	mgm in vegas	mgm hotel vegas
tiielle	1620	1620	211c1e0b83b9c69fa9c4bdede203c1e3	2175	2015-07-14	QueryPair	Good			0	fond du lac	2175	accommodation in fond du lac	fond du lac
tiielle	1627	1627	05f971b5ec196b8c65b75d2ef8267331	498	2015-07-15	QueryPair	Excellent			0	ramada inn walterboro sc	498	ramada inn walterboro	ramada inn walterboro sc
tiielle	164	164	11b921ef080f7736089c757404650e40	556	2015-07-15	QueryPair	Excellent			0	kimberly hotel hong kong	556	kimberley hotel in hong kong	kimberly hotel hong kong
tiielle	1644	1644	e56b06c51e1049195d7b26d043c478a0	1373	2015-07-15	QueryPair	Excellent			0	renaissance hotel seaworld orlando	1373	renaissance orlando hotel at seaworld	renaissance hotel seaworld orlando
tiielle	1645	1645	754dda4b1ba34c6fa89716b85d68532b	1091	2015-07-14	QueryPair	Fair			0	king salmon	1091	king salmon hotel	king salmon
tiielle	1648	1648	f187a23c3ee681ef6913f31fd6d6446b	1490	2015-07-15	QueryPair	Good			0	vacation packages punta cana dominican republic	1490	packages punta cana dominican republic	vacation packages punta cana dominican republic
tiielle	1653	1653	58c54802a9fb9526cd0923353a34a7ae	1049	2015-07-14	QueryPair	Good			0	rome vacations	1049	rome package	rome vacations
tiielle	1662	1662	c9f0f895fb98ab9159f51fd0297e236d	8	2015-07-15	QueryPair	Excellent			0	sheraton hotel philadelphia	8	philadelphia sheraton	sheraton hotel philadelphia
tiielle	1690	1690	286674e3082feb7e5afb92777e48821f	1297	2015-07-14	QueryPair	Excellent			0	copley square hotel boston	1297	hotels copley square boston	copley square hotel boston
tiielle	1700	1700	0e3a37aa85a14e359df74fa77eded3f6	1369	2015-07-14	QueryPair	Excellent			0	cheap cancun vacations all inclusive	1369	cheap cancun trips all inclusive	cheap cancun vacations all inclusive
tiielle	1747	1747	8929c70f8d710e412d38da624b21c3c8	2165	2015-07-14	QueryPair	Good			0	cheap cuba vacations	2165	cuba vacations	cheap cuba vacations
tiielle	1754	1754	d07e70efcfab08731a97e7b91be644de	458	2015-07-14	QueryPair	Good			0	cayman islands vacations	458	cayman islands tours	cayman islands vacations
tiielle	1756	1756	dc4c44f624d600aa568390f1f1104aa0	1262	2015-07-14	QueryPair	Good			0	ireland vacation package	1262	dublin ireland vacation packages	ireland vacation package
tiielle	1779	1779	4079016d940210b4ae9ae7d41c4a2065	1287	2015-07-14	QueryPair	Excellent			0	top things do miami	1287	things do miami	top things do miami
tiielle	1783	1783	5d6646aad9bcc0be55b2c82f69750387	2141	2015-07-14	QueryPair	Good			0	seattle tourism	2141	seattle hotels	seattle tourism
tiielle	1784	1784	059fdcd96baeb75112f09fa1dcc740cc	1895	2015-07-14	QueryPair	Good			0	palace hotel new york	1895	new york palace reviews	palace hotel new york
tiielle	182	182	f457c545a9ded88f18ecee47145a72c0	49	2015-07-14	QueryPair	Excellent			0	hawaii flight deals	49	hawaii cheap flights	hawaii flight deals
tiielle	1825	1825	f0dd4a99fba6075a9494772b58f95280	1400	2015-07-14	QueryPair	Good			0	places stay san diego	1400	stay san diego	places stay san diego
tiielle	1828	1828	7eb3c8be3d411e8ebfab08eba5f49632	1263	2015-07-14	QueryPair	Excellent			0	orlando florida things do	1263	orlando fl sightseeing	orlando florida things do
tiielle	1867	1867	a42a596fc71e17828440030074d15e74	1194	2015-07-14	QueryPair	Fair			0	grand hotel florence	1194	cavour florence grand hotel	grand hotel florence
tiielle	1892	1892	c5866e93cab1776890fe343c9e7063fb	2101	2015-07-14	QueryPair	Excellent			0	family resorts orlando florida	2101	family orlando florida resorts	family resorts orlando florida
tiielle	1894	1894	3b3dbaf68507998acd6a5a5254ab2d76	865	2015-07-14	QueryPair	Excellent			0	trips san diego	865	san diego trip	trips san diego
tiielle	1895	1895	495dabfd0ca768a3c3abd672079f48b6	1606	2015-07-14	QueryPair	Excellent			0	europe river cruises 2015	1606	river cruises europe 2015	europe river cruises 2015
tiielle	1911	1911	3636638817772e42b59d74cff571fbb3	169	2015-07-15	QueryPair	Good			0	puerto morelos mexico	169	puerto morelos hotel	puerto morelos mexico
tiielle	1911	1911	6883966fd8f918a4aa29be29d2c386fb	294	2015-07-15	QueryPair	Excellent			1	puerto morelos mexico	294	mexico puerto morelos	puerto morelos mexico
tiielle	1925	1925	838e8afb1ca34354ac209f53d90c3a43	1251	2015-07-14	QueryPair	Excellent			0	extended stay philadelphia pa	1251	extended stay hotel philadelphia pa	extended stay philadelphia pa
tiielle	193	193	83f97f4825290be4cb794ec6a234595f	1177	2015-07-14	QueryPair	Excellent			0	holiday cottages ireland	1177	holiday cottages in ireland	holiday cottages ireland
tiielle	1947	1947	be3e9d3f7d70537357c67bb3f4086846	1651	2015-07-14	QueryPair	Excellent			0	tripadvisor st pete beach	1651	st pete beach tripadvisor	tripadvisor st pete beach
tiielle	197	197	92bbd31f8e0e43a7da8a6295b251725f	2118	2015-07-14	QueryPair	Excellent			0	weather san diego	2118	san diego weather	weather san diego
tiielle	1998	1998	9a4400501febb2a95e79248486a5f6d3	1660	2015-07-15	QueryPair	Excellent			0	royal park shiodome	1660	royal park shiodome hotel	royal park shiodome
tiielle	2004	2004	88ef51f0bf911e452e8dbb1d807a81ab	2031	2015-07-14	QueryPair	Excellent			0	my hotel bangkok	2031	my hotel pratunam bangkok	my hotel bangkok
tiielle	201	201	6faa8040da20ef399b63a72d0e4ab575	329	2015-07-14	QueryPair	Excellent			0	hilton disney world resort	329	hilton walt disney world resort	hilton disney world resort
tiielle	2011	2011	2dea61eed4bceec564a00115c4d21334	672	2015-07-14	QueryPair	Excellent			0	princess cruises alaska 2014	672	princess cruises alaska	princess cruises alaska 2014
tiielle	2017	2017	dd77279f7d325eec933f05b1672f6a1f	1116	2015-07-14	QueryPair	Good			0	hilton garden inn boston	1116	hilton garden inn boston burlington	hilton garden inn boston
tiielle	2031	2031	c9f95a0a5af052bffce5c89917335f67	1106	2015-07-14	QueryPair	Excellent			0	san francisco city tour	1106	city tour san francisco	san francisco city tour
tiielle	2033	2033	c6335734dbc0b1ded766421cfc611750	2106	2015-07-14	QueryPair	Excellent			0	doubletree hilton sacramento ca	2106	doubletree hotel sacramento ca	doubletree hilton sacramento ca
tiielle	2052	2052	654ad60ebd1ae29cedc37da04b6b0672	2079	2015-07-15	QueryPair	Excellent			0	shangri la hotel makati	2079	shangri la makati	shangri la hotel makati
tiielle	2084	2084	298923c8190045e91288b430794814c4	1015	2015-07-14	QueryPair	Good			0	new orleans wyndham hotel	1015	new orleans airport wyndham hotel	new orleans wyndham hotel
tiielle	2090	2090	325995af77a0e8b06d1204a171010b3a	2069	2015-07-14	QueryPair	Excellent			0	travel packages new orleans	2069	vacation package new orleans	travel packages new orleans
tiielle	2093	2093	0ff8033cf9437c213ee13937b1c4c455	659	2015-07-14	QueryPair	Excellent			0	ice hotel quebec	659	hotel de glace quebec	ice hotel quebec
tiielle	2146	2146	29921001f2f04bd3baee84a12e98098f	1558	2015-07-14	QueryPair	Fair			0	quality inn reno nv	1558	quality inn nevada	quality inn reno nv
tiielle	2173	2173	a0833c8a1817526ac555f8d67727caf6	1299	2015-07-14	QueryPair	Excellent			0	extended stay metairie la	1299	extended stay metairie metairie la	extended stay metairie la
tiielle	2174	2174	cf67355a3333e6e143439161adc2d82e	520	2015-07-15	QueryPair	Excellent			0	raleigh hotel miami beach	520	raleigh hotel miami	raleigh hotel miami beach
tiielle	22	22	b5b41fac0361d157d9673ecb926af5ae	502	2015-07-15	QueryPair	Excellent			0	sleep inn beaufort sc	502	sleep inn beaufort south carolina	sleep inn beaufort sc
tiielle	233	233	84438b7aae55a0638073ef798e50b4ef	1294	2015-07-15	QueryPair	Excellent			0	radisson hotel orlando florida	1294	radisson hotel orlando	radisson hotel orlando florida
tiielle	248	248	536a76f94cf7535158f66cfbd4b113b6	1453	2015-07-14	QueryPair	Good			0	phuket island	1453	patong island	phuket island
tiielle	268	268	46922a0880a8f11f8f69cbb52b1396be	582	2015-07-15	QueryPair	Excellent			0	reef resort grand cayman	582	reef resort hotel grand cayman	reef resort grand cayman
tiielle	274	274	dc6a6489640ca02b0d42dabeb8e46bb7	469	2015-07-14	QueryPair	Excellent			0	flight deals las vegas	469	flights las vegas	flight deals las vegas
tiielle	285	285	b5c01503041b70d41d80e3dbe31bbd8c	2217	2015-07-14	QueryPair	Excellent			0	inn new york city	2217	inn near new york city	inn new york city
tiielle	374	374	6c8dba7d0df1c4a79dd07646be9a26c8	1264	2015-07-14	QueryPair	Good			0	downtown aquarium houston	1264	downtown aquarium houston hotel	downtown aquarium houston
tiielle	376	376	cfecdb276f634854f3ef915e2e980c31	190	2015-07-14	QueryPair	Good			0	trip hong kong	190	trip to hong kong	trip hong kong
tiielle	406	406	85f007f8c50dd25f5a45fca73cad64bd	1837	2015-07-14	QueryPair	Excellent			0	scottish inn houston	1837	houston scottish inns	scottish inn houston
tiielle	425	425	8a0e1141fd37fa5b98d5bb769ba1a7cc	697	2015-07-14	QueryPair	Fair			0	holiday inn pennsylvania	697	holiday inn bensalem pennsylvania	holiday inn pennsylvania
tiielle	439	439	06eb61b839a0cefee4967c67ccb099dc	310	2015-07-14	QueryPair	Good			0	pet friendly hotels lincoln ne	310	pet friendly motels lincoln nebraska	pet friendly hotels lincoln ne
tiielle	465	465	96c5c28becf18e71190460a9955aa4d8	1860	2015-07-14	QueryPair	Excellent			0	holiday inn amarillo tx	1860	holiday inn hotels amarillo tx	holiday inn amarillo tx
tiielle	466	466	4311359ed4969e8401880e3c1836fbe1	974	2015-07-15	QueryPair	Excellent			0	shilo inn seaside	974	inn seaside shilo	shilo inn seaside
tiielle	471	471	903ce9225fca3e988c2af215d4e544d3	143	2015-07-15	QueryPair	Excellent			0	tripadvisor hotels chicago	143	trip advisor chicago hotels	tripadvisor hotels chicago
tiielle	489	489	03f544613917945245041ea1581df0c2	1089	2015-07-14	QueryPair	Fair			0	time square new york	1089	time square hotel new york	time square new york
tiielle	513	513	26e359e83860db1d11b6acca57d8ea88	298	2015-07-14	QueryPair	Excellent			0	south france vacations	298	south france tours	south france vacations
tiielle	519	519	10c272d06794d3e5785d5e7c5356e9ff	1641	2015-07-14	QueryPair	Excellent			0	portland oregon	1641	portland or	portland oregon
tiielle	528	528	addfa9b7e234254d26e9c7f2af1005cb	855	2015-07-14	QueryPair	Excellent			0	disney hotel paris	855	disney hotel near paris	disney hotel paris
tiielle	551	551	46771d1f432b42343f56f791422a4991	1407	2015-07-15	QueryPair	Excellent			0	ramada inn las cruces nm	1407	ramada las cruces	ramada inn las cruces nm
tiielle	628	628	fc49306d97602c8ed1be1dfbf0835ead	860	2015-07-14	QueryPair	Good			0	cheap vegas trips	860	cheap travel to vegas	cheap vegas trips
tiielle	64	64	b056eb1587586b71e2da9acfe4fbd19e	749	2015-07-14	QueryPair	Excellent			0	hilton hotels orlando	749	hilton hotel orlando	hilton hotels orlando
tiielle	661	661	a7d8ae4569120b5bec12e7b6e9648b86	1176	2015-07-14	QueryPair	Excellent			0	travel new york city	1176	best travel new york city	travel new york city
tiielle	678	678	6f4922f45568161a8cdf4ad2299f6d23	18	2015-07-14	QueryPair	Excellent			0	comfort inn flagstaff	18	comfort inn in flagstaff	comfort inn flagstaff
tiielle	687	687	5807a685d1a9ab3b599035bc566ce2b9	764	2015-07-14	QueryPair	Good			0	myrtle beach golf vacations	764	myrtle beach golf accommodation	myrtle beach golf vacations
tiielle	688	688	86b122d4358357d834a87ce618a55de0	773	2015-07-14	QueryPair	Excellent			0	las vegas special packages	773	las vegas special deals	las vegas special packages
tiielle	706	706	e4a6222cdb5b34375400904f03d8e6a5	242	2015-07-15	QueryPair	Excellent			0	red roof inn miamisburg ohio	242	red roof miamisburg ohio	red roof inn miamisburg ohio
tiielle	720	720	b83aac23b9528732c23cc7352950e880	327	2015-07-14	QueryPair	Excellent			0	vacation package europe	327	europe vacation package	vacation package europe
tiielle	732	732	01931a6925d3de09e5f87419d9d55055	2113	2015-07-14	QueryPair	Excellent			0	places stay orlando	2113	best places stay orlando	places stay orlando
tiielle	737	737	ca460332316d6da84b08b9bcf39b687b	1892	2015-07-14	QueryPair	Excellent			0	las vegas shows october 2014	1892	las vegas entertainment 2014	las vegas shows october 2014
tiielle	740	740	58238e9ae2dd305d79c2ebc8c1883422	342	2015-07-14	QueryPair	Excellent			0	ireland package deals	342	ireland travel package	ireland package deals
tiielle	754	754	ad3019b856147c17e82a5bead782d2a8	1393	2015-07-14	QueryPair	Fair			0	harbor inn santa barbara	1393	harbor santa barbara	harbor inn santa barbara
tiielle	769	769	17326d10d511828f6b34fa6d751739e2	1261	2015-07-14	QueryPair	Excellent			0	four seasons los angeles	1261	four seasons hotel in los angeles	four seasons los angeles
tiielle	77	77	8d34201a5b85900908db6cae92723617	548	2015-07-14	QueryPair	Excellent			0	petit palace madrid	548	madrid petit palace	petit palace madrid
tiielle	782	782	e94f63f579e05cb49c05c2d050ead9c0	1448	2015-07-14	QueryPair	Good			0	drury inn mcallen texas	1448	drury suites mcallen	drury inn mcallen texas
tiielle	8	8	798ed7d4ee7138d49b8828958048130a	1714	2015-07-14	QueryPair	Fair			0	vacation cancun mexico	1714	vacation near cancun	vacation cancun mexico
tiielle	810	810	db2b4182156b2f1f817860ac9f409ad7	1097	2015-07-14	QueryPair	Excellent			0	all inclusive hotel puerto vallarta	1097	all inclusive hotel puerta vallarta	all inclusive hotel puerto vallarta
tiielle	814	814	798cebccb32617ad94123450fd137104	1979	2015-07-14	QueryPair	Excellent			0	new york las vegas	1979	new york las vegas nv	new york las vegas
tiielle	826	826	577bcc914f9e55d5e4e4f82f9f00e7d4	302	2015-07-14	QueryPair	Excellent			0	machu picchu tour	302	machu picchu guided tour	machu picchu tour
tiielle	827	827	3e89ebdb49f712c7d90d1b39e348bbbf	919	2015-07-14	QueryPair	Excellent			0	times square suites vancouver	919	times square hotel vancouver	times square suites vancouver
tiielle	865	865	3fe78a8acf5fda99de95303940a2420c	1128	2015-07-15	QueryPair	Good			0	tripadvisor grand canyon	1128	hotels grand canyon tripadvisor	tripadvisor grand canyon
tiielle	875	875	060ad92489947d410d897474079c1477	221	2015-07-15	QueryPair	Good			0	royal caribbean cruises new york	221	royal caribbean cruises from new york	royal caribbean cruises new york
tiielle	888	888	db1915052d15f7815c8b88e879465a1e	1520	2015-07-15	QueryPair	Excellent			0	residence inn marriott orlando seaworld	1520	residence inn by marriott orlando seaworld	residence inn marriott orlando seaworld
tiielle	93	93	0c048b3a434e49e655c1247efb389cec	1158	2015-07-14	QueryPair	Good			0	all inclusive resorts mexico	1158	all inclusive family resorts mexico	all inclusive resorts mexico
tiielle	93	93	fb2e203234df6dee15934e448ee88971	2071	2015-07-14	QueryPair	Excellent			1	all inclusive resorts mexico	2071	all inclusive resort in mexico	all inclusive resorts mexico
tiielle	949	949	242c100dc94f871b6d7215b868a875f8	1284	2015-07-15	QueryPair	Good			0	peekskill ny	1284	peekskill hotels	peekskill ny
tiielle	959	959	296472c9542ad4d4788d543508116cbc	2070	2015-07-14	QueryPair	Good			0	courtyard marriott san diego	2070	marriott san diego	courtyard marriott san diego
tiielle	96	96	96a93ba89a5b5c6c226e49b88973f46e	1766	2015-07-15	QueryPair	Excellent			0	sheraton hotel ft lauderdale	1766	sheraton hotel fort lauderdale fl	sheraton hotel ft lauderdale
tiielle	974	974	cf004fdc76fa1a4f25f62e0eb5261ca3	368	2015-07-14	QueryPair	Excellent			0	park central new york	368	park central hotel ny	park central new york
tiielle	982	982	5249ee8e0cff02ad6b4cc0ee0e50b7d1	2200	2015-07-14	QueryPair	Good			0	hilton santa cruz	2200	hilton santa cruz reviews	hilton santa cruz
samanthashook	1002	1002	ab817c9349cf9c4f6877e1894a1faa00	467	2015-07-13	QueryPair	Excellent			0	best western all suites inn santa cruz	467	best western plus all suites inn santa cruz	best western all suites inn santa cruz
samanthashook	101	101	e07413354875be01a996dc560274708e	778	2015-07-15	QueryPair	Excellent			0	park central hotel miami beach	778	park central miami beach hotel	park central hotel miami beach
samanthashook	105	105	3435c378bb76d4357324dd7e69f3cd18	599	2015-07-13	QueryPair	Excellent			0	hawaii trip packages	599	hawaii packages	hawaii trip packages
samanthashook	1056	1056	bb1662b7c5f22a0f905fd59e718ca05e	2177	2015-07-13	QueryPair	Excellent			0	hampton inn naples fl	2177	hampton naples fl	hampton inn naples fl
samanthashook	1078	1078	2b44928ae11fb9384c4cf38708677c48	115	2015-07-15	QueryPair	Excellent			0	worthington renaissance fort worth	115	worthington renaissance fort worth hotel	worthington renaissance fort worth
samanthashook	1100	1100	4edaa105d5f53590338791951e38c3ad	1403	2015-07-13	QueryPair	Excellent			0	doubletree hotel washington dc	1403	doubletree hotel dc	doubletree hotel washington dc
samanthashook	1132	1132	861dc9bd7f4e7dd3cccd534d0ae2a2e9	1350	2015-07-15	QueryPair	Good			0	railway hotel williams az	1350	railway hotel	railway hotel williams az
samanthashook	1155	1155	9246444d94f081e3549803b928260f56	1006	2015-07-13	QueryPair	Excellent			0	comfort suites cherokee nc	1006	comfort suites cherokee	comfort suites cherokee nc
samanthashook	1158	1158	9978b7063e297d84bb2ac8e46c1c845f	2172	2015-07-13	QueryPair	Fair	there are 12 best westerns in san antonio; lackland is one		0	best western san antonio	2172	best western lackland san antonio	best western san antonio
samanthashook	1163	1163	2b8a61594b1f4c4db0902a8a395ced93	515	2015-07-13	QueryPair	Excellent			0	mesa inn grand junction co	515	mesa inn grand junction colorado	mesa inn grand junction co
samanthashook	118	118	0f840be9b8db4d3fbd5ba2ce59211f55	959	2015-07-15	QueryPair	Excellent			0	quality inn zephyrhills fl	959	quality inn zephyrhills	quality inn zephyrhills fl
samanthashook	1184	1184	414e773d5b7e5c06d564f594bf6384d0	1923	2015-07-13	QueryPair	Excellent			0	hampton inn novi mi	1923	hampton inn detroit novi mi	hampton inn novi mi
samanthashook	1221	1221	d645920e395fedad7bbbed0eca3fe2e0	40	2015-07-13	QueryPair	Excellent			0	comfort inn orland park il	40	comfort inn orland park hotel il	comfort inn orland park il
samanthashook	1248	1248	53fde96fcc4b4ce72d7739202324cd49	522	2015-07-15	QueryPair	Excellent			0	savannah suites atlanta ga	522	savannah suites atlanta	savannah suites atlanta ga
samanthashook	128	128	6f3e29a35278d71c7f65495871231324	1300	2015-07-13	QueryPair	Excellent			0	silver cloud inn portland	1300	silver cloud inn pdx	silver cloud inn portland
samanthashook	1289	1289	45fbc6d3e05ebd93369ce542e8f2322d	216	2015-07-13	QueryPair	Excellent			0	roosevelt hotel la	216	hollywood roosevelt hotel la	roosevelt hotel la
samanthashook	1297	1297	f8e59f4b2fe7c5705bf878bbd494ccdf	2171	2015-07-13	QueryPair	Excellent			0	courtyard marriott philadelphia	2171	courtyard hotel philadelphia	courtyard marriott philadelphia
samanthashook	1299	1299	0070d23b06b1486a538c0eaa45dd167a	2081	2015-07-15	QueryPair	Excellent			0	royal sonesta harbor court baltimore	2081	royal sonesta harbor baltimore	royal sonesta harbor court baltimore
samanthashook	131	131	bd4c9ab730f5513206b999ec0d90d1fb	161	2015-07-15	QueryPair	Excellent		the name is springhill suites boston peabody	0	springhill suites peabody ma	161	springhill suites boston peabody ma	springhill suites peabody ma
samanthashook	1319	1319	36a1694bce9815b7e38a9dad05ad42e0	1172	2015-07-13	QueryPair	Good			0	carlton hotel atascadero ca	1172	atascadero hotel	carlton hotel atascadero ca
samanthashook	1361	1361	b3bbccd6c008e727785cb81b1aa08ac5	1751	2015-07-15	QueryPair	Good			0	sofitel hotel los angeles	1751	hotel recommendation los angeles	sofitel hotel los angeles
samanthashook	1387	1387	68264bdb65b97eeae6788aa3348e553c	660	2015-07-15	QueryPair	Excellent			0	sandcastle hotel myrtle beach	660	sandcastle resort hotel myrtle beach	sandcastle hotel myrtle beach
samanthashook	1392	1392	d860bd12ce9c026814bbdfc1c573f0f5	1787	2015-07-15	QueryPair	Good			0	sanctuary hotel kiawah island	1787	sanctuary kiawah	sanctuary hotel kiawah island
samanthashook	1412	1412	a87ff679a2f3e71d9181a67b7542122c	4	2015-07-15	QueryPair	Excellent			0	quality inn boardwalk ocean city maryland	4	quality inn boardwalk ocean city md	quality inn boardwalk ocean city maryland
samanthashook	1413	1413	3c947bc2f7ff007b86a9428b74654de5	1856	2015-07-15	QueryPair	Excellent			0	stoney creek inn moline il	1856	stoney creek inn in moline il	stoney creek inn moline il
samanthashook	1423	1423	8d6dc35e506fc23349dd10ee68dabb64	940	2015-07-13	QueryPair	Bad	different states		0	best western lafayette la	940	best western lafayette in	best western lafayette la
samanthashook	1438	1438	4fa7c62536118cc404dec4a0ca88d4f6	1387	2015-07-13	QueryPair	Excellent			0	hampton inn winston salem	1387	hampton inn winston salem nc	hampton inn winston salem
samanthashook	1451	1451	4da04049a062f5adfe81b67dd755cecc	1104	2015-07-15	QueryPair	Excellent			0	seawatch plantation myrtle beach	1104	seawatch plantation myrtle beach hotel	seawatch plantation myrtle beach
samanthashook	1452	1452	ed3d2c21991e3bef5e069713af9fa6ca	98	2015-07-15	QueryPair	Excellent			0	ramada inn flagstaff arizona	98	ramada flagstaff az	ramada inn flagstaff arizona
samanthashook	1465	1465	31fefc0e570cb3860f2a6d4b38c6490d	187	2015-07-13	QueryPair	Excellent			0	embassy suites ft lauderdale	187	embassy suites hotel ft lauderdale	embassy suites ft lauderdale
